Num features,BT+HA+MCF,BT+HA+MVW,BT+HB+MCF,BT+HB+MVW,BT+HA+MHV,BT+HB+MHV,B&B+HB+MHV,BestFS+HB+MHV,B&B+HB+MCF,BestFS+HB+MCF,B&B+HB+MVW,BestFS+HB+MVW,B&B+HA+MCF,BestFS+HA+MCF,B&B+HA+MHV,BestFS+HA+MHV,B&B+HA+MVW,BestFS+HA+MVW
10,10.388,10.398,9.98,10.038,11.378,11.372,11.372,11.372,9.98,9.98,10.514,10.514,10.776,10.472,11.378,11.378,13.618,13.534
20,17.874,18.24,17.186,17.57,20.566,20.494,20.542,20.498,17.54,17.468,18.56,18.456,22.834,20.656,24.56,24.372,64.056,61.71
30,24.328,25.094,23.13,23.93,27.39,27.55,27.674,27.674,24.144,23.822,27.292,26.788,40.01,33.368,38.646,38.258,215.404,202.112
40,31.212,32.414,29.538,31.11,36.84,36.848,37.588,37.452,33.928,32.852,39.222,38.22,73.122,55.892,95.448,92.666,2117.86,2031.096
50,36.802,38.74,34.832,36.834,44.348,44.29,47.49,47.39,44.704,43.36,59.164,57.202,103.962,75.036,197.406,190.872,2943.652,2235.908
60,42.538,43.956,39.94,41.852,51.49,51.764,54.666,54.194,46.914,45.23,80.212,76.61,138.766,99.908,,,,
70,50.148,52.306,47.752,50.044,60.596,60.902,72.544,72.456,67.7,63.926,154.542,146.032,257.962,193.068,,,,
80,59.232,61.678,55.576,58.632,70.562,71.348,85.504,84.9,84.346,76.366,202.344,194.842,654.926,444.316,,,,
90,63.72,66.878,60.232,63.746,77.46,77.524,114.098,94.074,99.168,89.652,244.652,231.024,1015.11,750.672,,,,
100,72.248,76.212,68.438,72.768,88.322,88.63,119.776,118.18,139.558,128.384,360.812,293.99,2714.96,2105.144,,,,
110,78.886,83.348,75.144,79.648,97.266,97.6,243.514,239.59,206.042,181.104,684.178,653.476,,,,,,
120,83.6,88.068,79.46,84.352,102.784,103.12,199.602,196.414,208.998,160.234,800.528,775.888,,,,,,
130,91.85,96.554,86.678,91.606,112.614,112.878,231.178,227.41,329.824,297.846,1308.356,1153.39,,,,,,
140,97.784,103.162,92.642,98.596,121.62,122.262,282.844,274.074,411.622,369.472,1545.916,1371.84,,,,,,
150,104.396,108.82,98.594,104.198,128.884,129.486,352.698,341.388,,,,,,,,,,
160,112.368,118.364,106.432,112.886,139.196,139.76,672.188,649.464,,,,,,,,,,
170,118.71,125.3,112.88,120.038,148.096,148.22,972.458,810.542,,,,,,,,,,
180,127.156,134.362,120.842,128.5,159.462,159.862,1334.09,1248.73,,,,,,,,,,
