Num features,BT+HA+MCF,BT+HA+MVW,BT+HB+MCF,BT+HB+MVW,BT+HA+MHV,BT+HB+MHV,B&B+HB+MHV,BestFS+HB+MHV,B&B+HB+MCF,BestFS+HB+MCF,B&B+HB+MVW,BestFS+HB+MVW,B&B+HA+MCF,BestFS+HA+MCF,B&B+HA+MHV,BestFS+HA+MHV,B&B+HA+MVW,BestFS+HA+MVW
10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
10,11,11,11,11,17,17,17,17,11,11,11,11,11,11,17,17,11,11
10,13,13,13,13,16,16,16,16,13,13,13,13,13,13,16,16,13,13
10,9,9,5,9,13,13,13,13,5,5,9,9,11,9,13,13,11,11
10,17,17,17,15,17,17,17,17,17,17,15,15,17,17,17,17,73,71
10,6,6,6,6,5,5,5,5,6,6,6,6,6,6,5,5,6,6
10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,9,11,9,11,11,11,11,11,9,9,11,11,9,9,11,11,11,11
10,11,11,7,11,15,15,15,15,7,7,11,11,13,13,15,15,13,13
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,7,9,7,9,9,9,9,9,7,7,9,9,7,7,9,9,9,9
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,3,3,3,3,7,7,7,7,3,3,3,3,3,3,7,7,3,3
10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,10,7,6,7,14,14,14,14,6,6,7,7,10,10,14,14,7,7
10,5,7,5,7,9,9,9,9,5,5,7,7,5,5,9,9,7,7
10,9,9,9,9,13,13,13,13,9,9,9,9,9,9,13,13,9,9
10,9,11,9,11,11,11,11,11,9,9,11,11,9,9,11,11,11,11
10,19,17,19,17,17,17,17,17,19,19,17,17,19,19,17,17,17,17
10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,49,49
10,19,17,19,17,17,17,17,17,19,19,19,19,19,19,17,17,19,19
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,9,7,9,7,9,9,9,9,9,9,7,7,9,9,9,9,7,7
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,19,17,19,17,19,19,19,19,19,19,17,17,19,19,19,19,17,17
10,17,19,17,19,17,17,17,17,17,17,19,19,17,17,17,17,19,19
10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
10,3,3,3,3,7,7,7,7,3,3,3,3,3,3,7,7,3,3
10,11,9,11,9,11,11,11,11,11,11,9,9,11,11,11,11,9,9
10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,2,2
10,11,13,11,13,17,17,17,17,11,11,13,13,11,11,17,17,13,13
10,13,11,13,11,17,17,17,17,13,13,11,11,13,13,17,17,11,11
10,7,7,7,3,7,7,7,7,7,7,3,3,7,7,7,7,7,5
10,9,9,9,9,13,13,13,13,9,9,9,9,9,9,13,13,9,9
10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,9,9,9,5,13,13,13,13,9,9,5,5,9,9,13,13,9,7
10,8,7,8,7,7,7,7,7,8,8,7,7,8,8,7,7,7,7
10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,3,3,3,3,7,7,7,7,3,3,3,3,3,3,7,7,3,3
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,9,11,9,11,11,11,11,11,9,9,13,13,9,9,11,11,13,13
10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
10,17,19,17,19,17,17,17,17,17,17,19,19,17,17,17,17,19,19
10,9,9,3,9,9,9,9,9,3,3,9,9,9,9,9,9,9,9
10,7,7,5,5,14,14,14,14,5,5,5,5,9,9,14,14,13,13
10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
10,9,9,5,9,9,9,9,9,5,5,9,9,9,9,9,9,9,9
10,12,12,12,12,14,14,14,14,12,12,12,12,12,12,14,14,12,12
10,11,11,11,11,9,9,9,9,11,11,11,11,11,11,9,9,11,11
