Num features,BT+HA+MCF,BT+HA+MVW,BT+HB+MCF,BT+HB+MVW,BT+HA+MHV,BT+HB+MHV,B&B+HB+MHV,BestFS+HB+MHV,B&B+HB+MCF,BestFS+HB+MCF,B&B+HB+MVW,BestFS+HB+MVW,B&B+HA+MCF,BestFS+HA+MCF,B&B+HA+MHV,BestFS+HA+MHV,B&B+HA+MVW,BestFS+HA+MVW
10,5.64,5.642,5.436,5.464,6.12,6.128,6.128,6.128,5.436,5.436,5.464,5.7,5.646,5.682,6.12,6.12,5.648,7.158
20,9.334,9.512,8.992,9.182,10.69,10.63,10.63,10.632,8.992,9.132,9.192,9.602,9.346,10.72,10.69,12.586,9.566,31.09
30,12.4,12.736,11.81,12.164,13.89,13.912,13.912,13.974,11.81,12.156,12.164,13.578,12.412,16.896,13.89,19.304,12.752,100.812
40,15.85,16.37,15.018,15.72,18.636,18.55,18.55,18.852,15.02,16.668,15.724,19.234,15.89,28.102,18.65,46.32,16.428,1014.106
50,18.594,19.452,17.622,18.51,22.292,22.194,22.194,23.74,17.632,21.86,18.528,28.608,18.69,37.616,22.3,95.096,19.576,1115.55
60,21.442,22.042,20.152,20.998,25.818,25.808,25.808,27.008,20.21,22.784,21.064,38.12,21.508,50.006,0,0,0,0
70,25.21,26.086,24.02,24.958,30.24,30.244,30.244,35.994,24.038,32.064,24.982,72.766,25.312,96.48,0,0,0,0
80,29.684,30.68,27.868,29.17,35.162,35.26,35.26,41.906,27.94,38.206,29.23,97.042,29.76,221.94,0,0,0,0
90,31.906,33.218,30.188,31.668,38.502,38.302,38.324,46.516,30.23,44.822,31.708,115.16,32.034,374.748,0,0,0,0
100,36.166,37.812,34.282,36.11,43.9,43.822,43.826,58.392,34.326,64.164,36.148,146.322,36.312,1051.988,0,0,0,0
110,39.43,41.312,37.578,39.486,48.254,48.198,48.204,119.014,37.618,90.41,39.528,324.618,0,0,0,0,0,0
120,41.784,43.636,39.726,41.794,51.044,50.876,50.878,95.066,39.764,79.584,41.846,387.176,0,0,0,0,0,0
130,45.886,47.8,43.336,45.344,55.788,55.65,55.65,111.956,43.394,148.664,45.436,575.056,0,0,0,0,0,0
140,48.834,50.99,46.29,48.724,60.312,60.25,60.254,134.52,46.384,184.51,48.886,683.952,0,0,0,0,0,0
150,52.11,53.856,49.236,51.568,63.936,63.806,63.818,169.438,0,0,0,0,0,0,0,0,0,0
160,56.072,58.54,53.132,55.81,69.06,68.86,68.866,314.686,0,0,0,0,0,0,0,0,0,0
170,59.26,61.95,56.372,59.334,73.476,73.076,73.078,399.638,0,0,0,0,0,0,0,0,0,0
180,63.448,66.39,60.31,63.476,79.1,78.79,78.792,616.45,0,0,0,0,0,0,0,0,0,0
