Num features,BT+HA+MCF,BT+HA+MVW,BT+HB+MCF,BT+HB+MVW,BT+HA+MHV,BT+HB+MHV,B&B+HB+MHV,BestFS+HB+MHV,B&B+HB+MCF,BestFS+HB+MCF,B&B+HB+MVW,BestFS+HB+MVW,B&B+HA+MCF,BestFS+HA+MCF,B&B+HA+MHV,BestFS+HA+MHV,B&B+HA+MVW,BestFS+HA+MVW
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,6,6,6,6,9,9,9,9,6,6,6,6,6,6,9,9,6,6
10,7,7,7,7,8,8,8,8,7,7,7,7,7,7,8,8,7,7
10,5,5,3,5,7,7,7,7,3,3,5,5,5,5,7,7,5,6
10,9,9,9,8,9,9,9,9,9,9,8,8,9,9,9,9,9,36
10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,5,6,5,6,6,6,6,6,5,5,6,6,5,5,6,6,6,6
10,6,6,4,6,8,8,8,8,4,4,6,6,6,7,8,8,6,7
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,4,5,4,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,2,2
10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,5,4,3,4,7,7,7,7,3,3,4,4,5,5,7,7,4,4
10,3,4,3,4,5,5,5,5,3,3,4,4,3,3,5,5,4,4
10,5,5,5,5,7,7,7,7,5,5,5,5,5,5,7,7,5,5
10,5,6,5,6,6,6,6,6,5,5,6,6,5,5,6,6,6,6
10,10,9,10,9,9,9,9,9,10,10,9,9,10,10,9,9,9,9
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,25
10,10,9,10,9,9,9,9,9,10,10,9,10,10,10,9,9,9,10
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,5,4,5,4,5,5,5,5,5,5,4,4,5,5,5,5,4,4
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,10,9,10,9,10,10,10,10,10,10,9,9,10,10,10,10,9,9
10,9,10,9,10,9,9,9,9,9,9,10,10,9,9,9,9,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,2,2
10,6,5,6,5,6,6,6,6,6,6,5,5,6,6,6,6,5,5
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,6,7,6,7,9,9,9,9,6,6,7,7,6,6,9,9,7,7
10,7,6,7,6,9,9,9,9,7,7,6,6,7,7,9,9,6,6
10,4,4,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,3
10,5,5,5,5,7,7,7,7,5,5,5,5,5,5,7,7,5,5
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,5,5,5,3,7,7,7,7,5,5,3,3,5,5,7,7,5,4
10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,2,2
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,5,6,5,6,6,6,6,6,5,5,6,7,5,5,6,6,6,7
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,9,10,9,10,9,9,9,9,9,9,10,10,9,9,9,9,10,10
10,5,5,2,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5
10,4,4,3,3,7,7,7,7,3,3,3,3,4,5,7,7,4,7
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,5,5,3,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,6,6,6,6,5,5,5,5,6,6,6,6,6,6,5,5,6,6
10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,4,4,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,3
10,6,6,6,6,9,9,9,9,6,6,6,6,6,6,9,9,6,6
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,5,5,3,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5
10,7,7,7,7,9,9,9,9,7,7,7,7,7,7,9,9,7,7
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,10,9,10,9,10,10,10,10,10,10,9,9,10,10,10,10,9,9
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,2,2
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,9,10,9,10,10,10,10,10,9,9,10,10,9,9,10,10,10,10
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,4,4,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,3
10,4,4,2,3,4,4,4,4,2,2,3,3,4,4,4,4,4,4
10,10,9,10,9,10,10,10,10,10,10,9,9,10,10,10,10,9,9
10,3,4,3,4,5,5,5,5,3,3,4,4,3,3,5,5,4,4
10,2,2,2,2,3,3,3,3,2,2,2,2,2,2,3,3,2,2
10,9,9,9,9,10,10,10,10,9,9,9,9,9,9,10,10,9,9
10,9,9,9,9,10,10,10,10,9,9,9,9,9,9,10,10,9,9
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,2,2
10,2,2,2,2,3,3,3,3,2,2,2,2,2,2,3,3,2,2
10,9,8,9,8,9,9,9,9,9,9,8,8,9,9,9,9,8,27
10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
10,9,9,9,9,10,10,10,10,9,9,9,9,9,9,10,10,9,9
10,10,9,10,9,10,10,10,10,10,10,9,9,10,10,10,10,9,9
10,7,7,7,7,8,8,8,8,7,7,7,7,7,7,8,8,7,7
10,9,9,9,9,10,10,10,10,9,9,9,9,9,9,10,10,9,9
10,8,8,8,5,9,9,9,9,8,8,5,5,8,8,9,9,8,17
10,8,9,8,9,9,9,9,9,8,8,9,9,8,8,9,9,9,28
10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,10,9,10,9,10,10,10,10,10,10,9,9,10,10,10,10,9,9
10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,5,4,3,4,5,5,5,5,3,3,4,4,5,4,5,5,4,4
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,5,6,5,6,6,6,6,6,5,5,6,6,5,5,6,6,6,6
10,9,10,9,10,9,9,9,9,9,9,10,14,9,9,9,9,10,14
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,9,10,9,10,9,10,10,10,9,9,10,10,9,9,9,9,10,10
10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,2,2
10,6,7,6,7,9,9,9,9,6,6,7,7,6,6,9,9,7,7
10,10,9,10,9,9,9,9,9,10,10,9,10,10,10,9,9,9,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,10,9,10,9,10,10,10,10,10,10,9,9,10,10,10,10,9,9
10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10,4,5,4,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5
10,6,6,6,6,8,8,8,8,6,6,6,6,6,6,8,8,6,6
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,5,4,5,4,5,5,5,5,5,5,4,4,5,5,5,5,4,4
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,2,2,2,2,4,4,4,4,2,2,2,2,2,2,4,4,2,2
10,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,5,4,4
10,6,6,3,4,8,8,8,8,3,3,4,4,6,7,8,8,6,7
10,4,5,4,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5
10,6,6,4,4,8,8,8,8,4,4,4,4,6,7,8,8,6,8
10,10,9,10,9,10,10,10,10,10,10,9,9,10,10,10,10,9,9
10,5,6,5,6,6,6,6,6,5,5,6,6,5,5,6,6,6,6
10,3,4,3,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4
10,10,9,10,9,10,10,10,10,10,10,9,9,10,10,10,10,9,9
10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
