Num features,BT+HMO+MCF,BT+HMO+MVW,BT+HTC+MCF,BT+HTC+MVW,BT+HMO+MHV,BT+HTC+MHV,B&B+HTC+MHV,BestFS+HTC+MHV,B&B+HTC+MCF,BestFS+HTC+MCF,B&B+HTC+MVW,BestFS+HTC+MVW,B&B+HMO+MCF,BestFS+HMO+MCF,B&B+HMO+MHV,BestFS+HMO+MHV,B&B+HMO+MVW,BestFS+HMO+MVW
10,0.927201013,0.93969507,0.964742105,0.988909597,0.997942943,0.998173974,1,1,1,1,1,1,1,1,1,1,1,1
20,0.914780936,0.893325084,0.954430971,0.987303829,0.988478649,0.997674766,1,1,1,1,1,1,1,1,1,1,1,1
30,0.94813536,0.924035187,0.969991633,0.991625028,0.994958913,0.997049188,1,1,1,1,1,1,1,1,1,1,1,1
40,0.960307028,0.934246019,0.976426451,0.987597514,0.994909689,0.996311588,1,1,1,1,1,1,1,1,1,1,1,1
50,0.955347395,0.923891875,0.983739658,0.98847465,0.993336811,0.998545358,1,1,1,1,1,1,1,1,1,1,1,1
60,0.978378615,0.94743565,0.991290156,0.988787386,0.991307192,0.999032159,1,1,1,1,1,1,1,1,1,1,1,1
70,0.975128235,0.957753149,0.988708392,0.993542635,0.996230691,0.998850142,1,1,1,1,1,1,1,1,1,1,1,1
80,0.977063208,0.963150129,0.986632872,0.98929777,0.996734978,0.997234445,1,1,1,1,1,1,1,1,1,1,1,1
90,0.970892477,0.956057158,0.991123673,0.993807517,0.994439341,0.999595444,1,1,1,1,1,1,1,1,1,1,1,1
100,0.977330554,0.964556754,0.993213439,0.994632496,0.993818903,0.998807419,1,1,1,1,1,1,1,1,1,1,1,1
110,0.982850354,0.969403362,0.994328412,0.995438321,0.996762305,0.999329065,1,1,1,1,1,1,1,1,1,1,1,1
120,0.980859284,0.954355044,0.993668408,0.985618811,0.995752656,0.999669044,1,1,1,1,1,1,1,1,1,1,1,1
130,0.984381843,0.96003855,0.996830581,0.992744899,0.994806524,0.999495789,1,1,1,1,1,1,1,1,1,1,1,1
140,0.982475646,0.964333276,0.995350559,0.994203176,0.995059954,0.999710076,1,1,1,1,1,1,1,1,1,1,1,1
150,0.985336684,0.968968048,0.997864124,0.994392144,0.997491802,0.999672118,1,1,1,1,1,1,1,1,1,1,1,1
160,0.983997239,0.967142609,0.996710922,0.995309268,0.994860531,0.999591206,1,1,1,1,1,1,1,1,1,1,1,1
