Num features,BT+HMO+MHV,BT+HTC+MHV,BT+HMO+MCF,BT+HTC+MCF,BT+HMO+MVW,BT+HTC+MVW,B&B+HTC+MHV,BestFS+HTC+MHV,B&B+HTC+MCF,BestFS+HTC+MCF,B&B+HTC+MVW,BestFS+HTC+MVW,B&B+HMO+MHV,BestFS+HMO+MHV,B&B+HMO+MCF,BestFS+HMO+MCF,B&B+HMO+MVW,BestFS+HMO+MVW
10,0.013280747,0.014461294,0.007688144,0.01029688,0.006859736,0.010704862,0.014755696,0.0129663,0.010374879,0.010057786,0.011141906,0.010580786,0.018698149,0.017592491,0.007773115,0.006643941,0.021203979,0.020202422
20,0.041577004,0.705088884,0.151628463,0.031117616,0.018415126,0.024730332,0.043843523,0.035408862,0.030738672,0.027594595,0.069508126,0.033693454,0.225399179,0.180975886,0.039398002,0.026414116,4.854326977,0.560277495
30,0.055419525,0.078863171,0.036154657,0.050062204,0.039659399,0.052142496,0.081237768,0.070513344,0.104911055,0.067612306,1.349495026,1.354569562,3.500166972,3.96864361,0.10913133,0.095701841,7.604423396,7.679938214
40,0.133030506,0.131292624,0.039390739,0.054332142,0.040486654,0.084682621,0.133413368,0.134323224,0.175924221,0.09644166,0.237750371,0.22592556,33.32591738,40.9510411,0.421029174,0.368366358,129.9911895,169.8616489
50,0.174155539,0.166684153,0.047621488,0.066255021,0.050027911,0.068549198,0.169968269,0.235138715,0.981801341,0.99929759,3.688207143,3.99948799,816.8699543,1893.987597,1.514475859,1.552044984,840.6117215,1530.426669
60,0.490519454,0.238058269,0.077398494,0.100954508,0.080940795,0.106551165,0.239247017,0.240494982,0.261659456,0.262834628,8.283109821,8.987000838,0,0,4.911632063,4.790141041,0,0
70,0.309354503,0.835517166,0.093199458,0.125493675,0.100349589,0.126397447,0.298510934,0.718346523,1.152495029,1.171372113,2.823090733,2.865144231,0,0,14.52639987,15.38570814,0,0
80,0.440158837,0.426515388,0.119511847,0.155695295,0.124307176,0.15748334,0.596365743,0.987313322,2.047939385,2.105653617,10.54007279,10.58572266,0,0,77.59831246,85.18553897,0,0
90,0.477052266,1.638187077,0.119634125,0.436393784,0.125341827,0.166428829,0.585962015,0.589132522,9.266212427,9.55286672,1233.657446,2054.611612,0,0,409.579153,492.3397942,0,0
100,0.64372382,0.630826078,0.15045942,0.206100062,0.160444148,0.209074299,1.458153257,1.625648787,15.37968592,14.02602287,83.01140905,91.63384336,0,0,1493.035142,2773.033958,0,0
110,0.826409352,0.713428405,0.243189012,0.264010678,0.224278667,0.277162384,2.117746477,1.685475081,23.24688095,23.58823993,269.3709883,298.9395463,0,0,0,0,0,0
120,0.803754338,0.633353936,0.199525371,0.25957043,0.213269456,0.266047522,1.377152001,1.299391931,46.79305605,50.59925441,474.3009454,507.5171239,0,0,0,0,0,0
130,0.869255104,1.222772314,0.255161173,0.30889061,0.252660432,0.572052331,2.895655905,2.774098965,383.908951,422.5774723,1729.508216,2185.108426,0,0,0,0,0,0
140,1.480745748,0.815220836,0.600671132,0.573551971,0.258971115,0.976468976,5.502401409,5.518886766,422.4331796,453.7609098,2165.492451,2655.757367,0,0,0,0,0,0
150,0.956651363,0.917228541,0.242347712,0.381314055,0.240051237,0.299841858,8.300076788,8.408519451,0,0,0,0,0,0,0,0,0,0
160,0.880485608,0.888576045,0.276515938,0.354588716,0.329157496,0.533525955,5.421185783,5.494189677,0,0,0,0,0,0,0,0,0,0
170,1.44616003,1.364068979,0.319610252,0.405638328,0.337996249,0.419653168,9.808171395,9.845232474,0,0,0,0,0,0,0,0,0,0
180,1.133156339,1.116444801,0.324805028,0.83052726,0.320184596,0.644801479,10.98445173,11.33255744,0,0,0,0,0,0,0,0,0,0
190,1.741485996,1.769727225,0.19771112,1.358417082,1.30372796,0.633694724,153.4319315,165.596987,0,0,0,0,0,0,0,0,0,0
200,2.011413601,2.029026858,0.380694684,0.504076685,0.408372019,0.521481811,43.89168044,47.34619182,0,0,0,0,0,0,0,0,0,0
