Num features,BT+HA+MCF,BT+HA+MVW,BT+HB+MCF,BT+HB+MVW,BT+HA+MHV,BT+HB+MHV,B&B+HB+MHV,BestFS+HB+MHV,B&B+HB+MCF,BestFS+HB+MCF,B&B+HB+MVW,BestFS+HB+MVW,B&B+HA+MCF,BestFS+HA+MCF,B&B+HA+MHV,BestFS+HA+MHV,B&B+HA+MVW,BestFS+HA+MVW
10,"0,0185 ± 0,0077","0,0172 ± 0,0069","0,0223 ± 0,0103","0,0213 ± 0,0107","0,0498 ± 0,0132","0,0503 ± 0,0144","0,0506 ± 0,0147","0,0481 ± 0,0129","0,0233 ± 0,0104","0,0212 ± 0,0101","0,0227 ± 0,0111","0,0206 ± 0,0106","0,0196 ± 0,0078","0,0174 ± 0,0066","0,0580 ± 0,0187","0,0556 ± 0,0176","0,0250 ± 0,0212","0,0226 ± 0,0202"
20,"0,0551 ± 0,1516","0,0421 ± 0,0184","0,0518 ± 0,0311","0,0495 ± 0,0247","0,1741 ± 0,0416","0,2325 ± 0,7051","0,1912 ± 0,0438","0,1768 ± 0,0354","0,0617 ± 0,0307","0,0505 ± 0,0276","0,0690 ± 0,0695","0,0529 ± 0,0337","0,0668 ± 0,0394","0,0476 ± 0,0264","0,2907 ± 0,2254","0,2574 ± 0,1810","0,6819 ± 4,8543","0,2768 ± 0,5603"
30,"0,0770 ± 0,0362","0,0768 ± 0,0397","0,0898 ± 0,0501","0,0894 ± 0,0521","0,3347 ± 0,0554","0,3530 ± 0,0789","0,3623 ± 0,0812","0,3492 ± 0,0705","0,1101 ± 0,1049","0,0949 ± 0,0676","0,2082 ± 1,3495","0,1988 ± 1,3546","0,1386 ± 0,1091","0,1135 ± 0,0957","1,6018 ± 3,5002","1,6776 ± 3,9686","3,0933 ± 7,6044","3,0870 ± 7,6799"
40,"0,0938 ± 0,0394","0,0916 ± 0,0405","0,1054 ± 0,0543","0,1076 ± 0,0847","0,4401 ± 0,1330","0,4545 ± 0,1313","0,4682 ± 0,1334","0,4577 ± 0,1343","0,1369 ± 0,1759","0,1149 ± 0,0964","0,1679 ± 0,2378","0,1550 ± 0,2259","0,2932 ± 0,4210","0,2371 ± 0,3684","10,3186 ± 33,3259","11,8486 ± 40,9510","22,0772 ± 129,9912","25,7435 ± 169,8616"
50,"0,1443 ± 0,0476","0,1417 ± 0,0500","0,1647 ± 0,0663","0,1654 ± 0,0685","0,6345 ± 0,1742","0,6591 ± 0,1667","0,6748 ± 0,1700","0,7176 ± 0,2351","0,3186 ± 0,9818","0,3107 ± 0,9993","0,6557 ± 3,6882","0,6630 ± 3,9995","0,8944 ± 1,5145","0,8025 ± 1,5520","133,5904 ± 816,8700","226,2099 ± 1893,9876","308,3959 ± 840,6117","429,6114 ± 1530,4267"
60,"0,1923 ± 0,0774","0,1927 ± 0,0809","0,2233 ± 0,1010","0,2219 ± 0,1066","0,9343 ± 0,4905","0,9391 ± 0,2381","0,9654 ± 0,2392","0,9528 ± 0,2405","0,3021 ± 0,2617","0,2906 ± 0,2628","1,3159 ± 8,2831","1,3649 ± 8,9870","2,2402 ± 4,9116","2,0270 ± 4,7901","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000"
70,"0,2808 ± 0,0932","0,2808 ± 0,1003","0,3262 ± 0,1255","0,3229 ± 0,1264","1,1772 ± 0,3094","1,3095 ± 0,8355","1,2649 ± 0,2985","1,2965 ± 0,7183","0,6205 ± 1,1525","0,6083 ± 1,1714","1,0232 ± 2,8231","0,9933 ± 2,8651","6,6711 ± 14,5264","6,5511 ± 15,3857","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000"
80,"0,3732 ± 0,1195","0,3742 ± 0,1243","0,4262 ± 0,1557","0,4293 ± 0,1575","1,5554 ± 0,4402","1,6295 ± 0,4265","1,7675 ± 0,5964","1,8183 ± 0,9873","1,0626 ± 2,0479","1,0534 ± 2,1057","2,9183 ± 10,5401","2,8853 ± 10,5857","30,6543 ± 77,5983","31,1392 ± 85,1855","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000"
90,"0,4967 ± 0,1196","0,5009 ± 0,1253","0,6031 ± 0,4364","0,5735 ± 0,1664","1,8719 ± 0,4771","2,1067 ± 1,6382","2,1295 ± 0,5860","2,1172 ± 0,5891","2,5613 ± 9,2662","2,5455 ± 9,5529","101,6314 ± 1233,6574","160,3792 ± 2054,6116","116,3053 ± 409,5792","127,4361 ± 492,3398","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000"
100,"0,6193 ± 0,1505","0,6203 ± 0,1604","0,7128 ± 0,2061","0,7106 ± 0,2091","2,3583 ± 0,6437","2,4867 ± 0,6308","2,8234 ± 1,4582","2,8918 ± 1,6256","3,9689 ± 15,3797","3,8299 ± 14,0260","22,1197 ± 83,0114","24,0655 ± 91,6338","312,3984 ± 1493,0351","430,4783 ± 2773,0340","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000"
110,"0,7294 ± 0,2432","0,7293 ± 0,2243","0,8300 ± 0,2640","0,8323 ± 0,2772","2,8943 ± 0,8264","3,0224 ± 0,7134","3,5460 ± 2,1177","3,4752 ± 1,6855","6,9981 ± 23,2469","6,9785 ± 23,5882","65,7168 ± 269,3710","70,9470 ± 298,9395","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000"
120,"0,9158 ± 0,1995","0,9261 ± 0,2133","1,0570 ± 0,2596","1,0655 ± 0,2660","3,3408 ± 0,8038","3,5164 ± 0,6334","4,0403 ± 1,3772","3,9787 ± 1,2994","13,2189 ± 46,7931","13,3458 ± 50,5993","115,4044 ± 474,3009","120,4100 ± 507,5171","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000"
130,"1,0824 ± 0,2552","1,0888 ± 0,2527","1,2440 ± 0,3089","1,2723 ± 0,5721","3,8867 ± 0,8693","4,1876 ± 1,2228","5,1213 ± 2,8957","5,0523 ± 2,7741","48,7658 ± 383,9090","52,0283 ± 422,5775","367,3661 ± 1729,5082","433,5151 ± 2185,1084","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000"
140,"1,3018 ± 0,6007","1,2750 ± 0,2590","1,4858 ± 0,5736","1,5327 ± 0,9765","4,5793 ± 1,4807","4,7638 ± 0,8152","6,6083 ± 5,5024","6,5740 ± 5,5189","91,2920 ± 422,4332","95,5436 ± 453,7609","440,7116 ± 2165,4925","504,1687 ± 2655,7574","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000","0,0000 ± 0,0000"
