"BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","GAFES(pop:30,gen:100)","SPLConfig"
"2.023611","1.281795","1.684303","0.30494","0.191643","0.950643","18.234344","9.295271"
"0.446487","0.383577","0.634344","0.445905","1.946139","0.660266","1.398586","0.406586"
"0.241447","0.210284","0.422314","0.1931","0.190187","0.349501","1.380237","0.332609"
"0.292124","0.085045","0.29125","0.108636","0.085337","0.284843","1.020543","0.166013"
"0.268534","0.167178","0.350083","0.158149","0.152615","0.341929","0.979185","0.261543"
"0.150868","0.122908","0.281057","0.182032","0.141548","0.281931","1.340919","0.315716"
"0.185818","0.143004","0.263582","0.110384","0.108637","0.242612","1.51596","0.22805"
"0.12815","0.115627","0.267369","0.111549","0.098442","0.263582","0.777058","0.217273"
"0.051551","0.055046","0.173876","0.060289","0.070774","0.19776","0.772106","0.142713"
"0.086211","0.125529","0.215234","0.074269","0.115918","0.182323","0.952682","0.186401"
"0.101064","0.100773","0.228632","0.094657","0.08621","0.212321","1.13617","0.150577"
"0.145625","0.090871","0.227467","0.092326","0.092036","0.218147","0.702497","0.140674"
"0.096696","0.10252","0.233583","0.081259","0.137179","0.230962","1.129762","0.143878"
"0.064075","0.101938","0.163974","0.059124","0.059707","0.168343","0.879286","0.186109"
"0.072231","0.116209","0.216982","0.067861","0.110675","0.234166","1.126558","0.177372"
"0.110966","0.100481","0.219603","0.078346","0.089414","0.236787","0.946565","0.182032"
"0.087375","0.064075","0.216399","0.073104","0.061454","0.216108","0.918896","0.181158"
"0.085919","0.083007","0.201546","0.071065","0.078638","0.20504","0.883364","0.18611"
"0.07689","0.067862","0.186401","0.06757","0.066988","0.181449","0.783174","0.178537"
"0.094365","0.099607","0.193973","0.082424","0.082424","0.1864","0.719972","0.196885"
"0.103976","0.106015","0.223389","0.063492","0.060288","0.177663","0.75667","0.183488"
"0.053298","0.080094","0.149703","0.045727","0.054172","0.139217","0.73337","0.157858"
"0.092909","0.116501","0.174168","0.074852","0.08854","0.157857","0.728709","0.223099"
"0.051843","0.064949","0.112132","0.033203","0.03262","0.103394","0.668712","0.123782"
"0.064949","0.055046","0.140092","0.057667","0.048639","0.131354","0.574929","0.14417"
"0.105724","0.073687","0.174168","0.075433","0.062036","0.157275","0.535319","0.166887"
"0.047474","0.030872","0.123199","0.038736","0.029125","0.10223","0.666382","0.135723"
"0.041648","0.043979","0.131646","0.027378","0.041941","0.126694","1.000156","0.132228"
"0.084754","0.062327","0.173294","0.065531","0.051842","0.185818","0.618617","0.22572"
"0.083589","0.070774","0.196595","0.063784","0.078637","0.178537","0.768902","0.237952"
"0.085045","0.073395","0.172421","0.066988","0.067279","0.174168","0.676285","0.207079"
"0.070483","0.061454","0.179119","0.060289","0.052134","0.16776","0.745311","0.234166"
"0.046891","0.039028","0.071939","0.035533","0.034076","0.06058","0.950934","0.197177"
"0.089705","0.069026","0.170965","0.073395","0.067862","0.164848","0.600268","0.127568"
"0.098443","0.080676","0.160188","0.068444","0.0699","0.152616","0.585997","0.207954"
"0.098734","0.069609","0.196303","0.068735","0.064075","0.177954","0.834143","0.168634"
"0.080094","0.048057","0.172712","0.063784","0.064949","0.166887","0.797445","0.178828"
"0.071065","0.057668","0.153198","0.052134","0.054464","0.14213","0.539106","0.129607"
"0.075143","0.067861","0.168052","0.06757","0.066405","0.154655","0.509981","0.136888"
"0.03961","0.038737","0.128442","0.033203","0.033785","0.110967","0.475612","0.103685"
"0.09087","0.073104","0.165139","0.081841","0.048639","0.152033","0.506194","0.144461"
"0.044562","0.03961","0.122034","0.033493","0.035533","0.119413","0.547551","0.126403"
"0.063492","0.052134","0.155819","0.04893","0.042232","0.145043","0.595316","0.148247"
"0.084172","0.066697","0.164848","0.05825","0.056794","0.148247","0.588618","0.15116"
"0.055338","0.047766","0.139801","0.048639","0.053882","0.129898","0.667838","0.143295"
"0.081259","0.071939","0.189021","0.072521","0.074851","0.172712","0.50299","0.137762"
"0.056211","0.052133","0.129315","0.041066","0.041358","0.124364","0.517553","0.140965"
"0.082424","0.073103","0.166595","0.062619","0.056502","0.151159","0.411246","0.196594"
"0.047765","0.045726","0.14213","0.045144","0.041066","0.124365","0.727545","0.207953"
"0.078347","0.082715","0.183779","0.057085","0.077764","0.169508","0.703371","0.16281"
"0.082715","0.081259","0.16281","0.057377","0.058832","0.1631","1.50402","0.143295"
"0.080385","0.059415","0.157276","0.050678","0.057668","0.153489","0.687643","0.153489"
"0.079221","0.059415","0.150868","0.053008","0.046309","0.128732","0.482311","0.369888"
"0.084463","0.073687","0.156401","0.061163","0.054755","0.145917","0.466875","0.232418"
"0.040484","0.029708","0.106598","0.031746","0.023591","0.10951","0.332026","0.117083"
"0.06757","0.05126","0.146499","0.042522","0.038154","0.128151","0.498621","0.139218"
"0.072812","0.059707","0.177663","0.059707","0.055629","0.148538","0.339307","0.113879"
"0.071066","0.072812","0.138635","0.053881","0.059415","0.13514","0.360278","0.128441"
"0.053007","0.051843","0.146499","0.043979","0.046017","0.120578","0.408625","0.194556"
"0.078929","0.064658","0.19543","0.066114","0.053298","0.10252","0.375131","0.133684"
"0.056794","0.039027","0.10951","0.055921","0.047474","0.100772","0.490175","0.126403"
"0.049804","0.036406","0.062036","0.03495","0.034076","0.052134","0.44474","0.147373"
"0.065532","0.046309","0.107762","0.068735","0.054172","0.105724","0.417071","0.140966"
"0.079221","0.064075","0.217273","0.076599","0.073395","0.131063","0.447944","0.189605"
"0.066114","0.066406","0.103685","0.050386","0.050095","0.102229","0.44707","0.163974"
"0.06524","0.062911","0.100481","0.061454","0.07223","0.107472","0.35853","0.171838"
"0.042813","0.042232","0.094366","0.03961","0.04194","0.0932","0.518426","0.12349"
"0.07223","0.044561","0.098734","0.0466","0.04427","0.096404","0.354452","0.133975"
"0.05825","0.057958","0.107472","0.051843","0.042813","0.109219","0.544057","0.124364"
"0.054464","0.089123","0.099317","0.0466","0.031746","0.113588","0.483186","0.12815"
"0.059998","0.147956","0.124947","0.048639","0.034659","0.106307","0.542892","0.128442"
"0.065822","0.048638","0.134558","0.059416","0.048056","0.122908","0.530659","0.154363"
"0.062328","0.054464","0.128733","0.060872","0.052716","0.128733","0.702206","0.131063"
"0.069609","0.044561","0.148829","0.063201","0.041066","0.130189","0.475321","0.206205"
"0.084754","0.047765","0.129897","0.129024","0.039901","0.143878","0.542018","0.197176"
"0.038736","0.041358","0.113587","0.03029","0.027378","0.108345","0.608423","0.108928"
"0.083589","0.069317","0.147956","0.069026","0.058541","0.133101","0.457846","0.180575"
"0.11388","0.050095","0.115044","0.043397","0.046017","0.111258","0.695507","0.13514"
"0.081551","0.049513","0.23999","0.064658","0.03495","0.141548","0.574638","0.168926"
"0.051843","0.02563","0.119412","0.043978","0.024465","0.11184","0.472118","0.153781"
"0.039027","0.041066","0.10252","0.05126","0.033785","0.087084","0.4028","0.131063"
"0.036115","0.030581","0.088832","0.029999","0.027086","0.083006","0.465127","0.102229"
"0.05592","0.039319","0.106016","0.044853","0.03495","0.111258","0.45639","0.138927"
"0.038446","0.031455","0.096986","0.032911","0.028543","0.092036","0.489884","0.111258"
"0.036989","0.034659","0.086501","0.031164","0.031455","0.081842","0.476486","0.105724"
"0.035823","0.038445","0.09786","0.043979","0.033785","0.092036","0.825405","0.087666"
"0.031455","0.023882","0.099316","0.025338","0.026213","0.088541","0.439498","1.345288"
"0.033494","0.024465","0.047183","0.029707","0.02097","0.045435","0.438332","0.120869"
"0.02563","0.020678","0.081259","0.01864","0.018349","0.075143","0.513476","0.094365"
"0.050969","0.041649","0.107763","0.042231","0.036698","0.100191","0.555415","0.123199"
"0.0233","0.024174","0.083006","0.021552","0.020096","0.078929","0.444158","0.128733"
"0.041358","0.034367","0.095821","0.038445","0.036115","0.089997","0.410372","0.10951"
"0.032329","0.03262","0.090287","0.028251","0.027668","0.083589","0.45406","0.0932"
"0.044853","0.034076","0.096404","0.037863","0.029126","0.103103","0.662887","0.165722"
