"BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","GAFES(pop:30,gen:100)","SPLConfig"
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.568399762,1
1,1,1,1,1,1,0.960910631,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.841550909,1
1,1,1,1,1,1,0.831422021,1
1,1,1,1,1,1,0.574363402,1.120428597
1,1,1,1,1,1,0.774467959,1
1,1,1,1,1,1,0.843179388,1
1,1,1,1,1,1,0.987186244,0.987186244
1,1,1,1,1,1,0.910982746,1
1,1,1,1,1,1,0.966722489,1
1,1,1,1,1,1,0.861679885,1
1,1,1,1,0.864912761,1,0.841899888,1.119831154
0.981215641,1,1,0.981215641,1,1,0.599489084,0.988075558
1,1,1,1,1,1,0.503931073,0.967588637
1,1,1,1,1,1,1,1
1,0.954988966,1,1,0.896941891,1,0.873368265,1.036408226
1,1,1,1,1,1,0.984556566,1.235433361
1,1,1,1,1,1,0.807936054,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.964526314,1
1,1,1,1,1,1,0.510343727,1
1,1,1,1,1,1,0.944402659,0.944402659
1,1,1,1,0.99759286,1,0.898728273,1
1,1,1,1,1,1,0.821013347,1
1,1,1,1,1,1,0.83540028,1
1,1,1,1,1,1,1,0.47792443
1,1,1,1,1,1,0.58842828,1
1,1,1,1,0.787793984,1,0.64862774,1.014302674
1,1,1,1,1,1,0.689162328,1
1,1,1,1,1,1,0.731250768,1
1,1,1,1,1,1,0.967121053,1
1,1,1,1,1,1,0.535434931,0
1,1,1,1,1,1,0.694932257,1
1,1,1,0.904939158,1,1,0.915937932,1.042480304
1,1,1,0.856824836,0.856824836,1,1,1.153298861
1,1,1,1,1,1,0.902105807,1
1,1,1,1,1,1,0.833533027,1
1,1,1,1,1,1,0.992473077,0.814503727
1,1,1,1,1,1,0.622393068,0.357095922
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.783779354,1
1,1,1,1,1,1,0.747913016,1
1,1,1,1,1,0.777232299,0.755984814,1.088537993
1,1,1,0.948990181,0.950514065,1,0.948990181,0.948990181
1,1,1,1,1,1,0.973286433,1
1,1,1,1,1,1,0.692056606,1.166453691
1,1,1,0.834110596,1,1,0.827608861,1.033481524
1,1,1,1,1,1,0.851837611,0.909298343
1,1,1,1,1,1,0.89079147,0.89079147
1,1,1,1,0.851909189,1,0.537107068,0.962539545
1,1,1,1,1,1,0.760795387,1
1,0.997104038,1,1,0.997104038,1,0.473667708,1.062584425
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.987483071,0.987483071
1,1,1,1,1,1,0.607880381,0.483949035
1,1,1,1,1,1,0.673232351,1
1,1,1,1,1,1,0.774074342,1
1,1,1,1,1,1,0.812952919,1
1,1,1,1,0.790290695,1,0.831369582,1
1,1,1,1,1,1,0.855451965,1
1,1,1,1,0.973728334,1,0.722400429,1
1,1,1,1,1,1,0.739943605,1
1,1,1,1,1,1,0.863197078,1
1,1,1,1,1,1,0.490164695,1
1,1,1,1,1,1,0.647964814,1
1,1,1,1,1,1,0.823666762,1
1,1,1,1,1,1,1,1
1,1,1,1,1,0.88577379,0.579367417,1
1,1,1,1,1,1,0.88430004,1
1,1,1,1,1,1,0.990628144,1
1,1,1,1,1,1,0.93603141,1
1,1,1,1,0.977607211,1,0.642858397,0.732725824
1,1,1,1,1,1,0.854073333,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.702951338,1
1,0.95682208,1,1,0.95682208,1,0.653073449,1.224121248
1,1,1,1,1,1,0.895325977,1
1,1,1,1,1,1,0.706283435,1
1,1,1,1,1,1,0.856837202,1
1,1,1,1,1,1,0.743345337,1
1,1,1,1,1,1,0.836065902,1
1,1,1,1,1,1,0.773268073,1
1,1,1,1,1,1,0.887881502,0.887881502
1,0.994867492,1,0.994867492,0.994867492,1,0.429936501,0
1,1,1,1,0.940437036,1,1,1
1,1,1,1,1,1,0.962842988,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.950652443,1
1,1,1,1,1,1,0.965733974,1
1,1,1,0.989263699,0.989263699,1,0.8748124,0.821241207
1,1,1,1,1,1,0.978278973,0.978278973
1,1,1,1,0.979813603,1,0.343512672,0.976912575
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.532191591,1
1,1,1,1,1,1,0.785064159,1
1,1,1,1,1,1,0.395405002,0.174414061
1,1,1,1,1,1,0.452993371,1.26700185
1,1,1,1,1,1,0.757227598,1.274648112
0.952865339,1,1,0.952865339,1,1,0.875858064,1.387177525
1,1,1,1,1,1,0.580181985,1
1,1,1,1,0.984517953,1,0.795427219,1
1,1,1,1,1,1,0.660245039,1.062098778
1,1,1,1,1,1,0.722924966,1
1,1,1,1,1,1,0.740541863,1
1,1,1,1,1,1,0.810371998,0.155119204
1,1,1,1,1,1,0.897385413,1.081675047
1,1,1,0.974623376,1,1,0.911534731,0.944133516
1,1,1,1,0.923027327,1,0.603863872,1.224023484
1,1,1,1,1,1,0.77535327,0.990671525
1,1,1,0.963392131,1,1,0.813623815,0.893382399
1,1,1,1,1,1,0.704099278,1
1,1,1,1,1,1,0.775703692,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.847938163,1
1,1,1,1,1,1,0.868083473,1
1,1,1,1,1,1,0.402843597,0.888066795
1,1,1,1,0.919638918,1,1,1
1,1,1,1,1,1,0.785826239,0.982761542
1,1,1,1,1,1,0.636893739,1
1,1,1,1,1,1,0.938675117,1
1,1,1,1,1,1,0.743767531,1
1,1,1,1,1,1,0.881384478,1
1,1,1,1,1,1,0.904411522,1
1,1,1,1,1,1,0.660714248,1
1,1,1,1,1,1,0.689312618,1.122344207
1,1,1,1,1,1,0.880718948,1
1,1,1,1,1,1,0.641770903,1
1,1,1,1,1,1,0.736371193,1.068406487
1,1,1,1,1,1,0.775838052,0.775838052
1,1,1,1,1,1,0.655135364,1
1,1,1,0.790205451,0.790205451,1,0.889683973,0
1,1,1,1,1,1,0.757447469,1
1,1,1,1,1,1,0.866557594,1
1,1,1,1,0.963847867,1,0.83329782,1
1,1,1,0.911800361,0.911800361,1,0.964140516,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.931456968,0.457247377
1,1,1,1,1,1,0.978256231,1
0.934789582,0.934789582,1,0.934789582,0.934789582,1,0.577422432,1.15560417
1,1,1,1,1,1,0.939351362,1.509527137
1,0.959873206,1,1,0.959873206,1,0.810068935,1.268409933
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.849614743,0.737306204
1,1,1,1,1,1,0.8472338,1.101677776
1,1,1,1,1,1,0.828683788,1
1,1,1,1,0.965162145,1,0.891154399,1
1,1,1,1,1,1,0.90519409,1.006906077
1,1,1,1,1,1,0.501524769,1
1,1,1,1,0.979449188,1,1,1
1,1,1,1,1,1,0.650133184,1.134028079
1,1,1,1,1,1,0.717750863,0.96423368
1,1,1,1,1,1,0.573493147,1
1,1,1,0.914104236,0.991039315,1,0.90146438,0.960181702
1,1,1,1,1,1,0.799816349,1
1,1,1,1,1,1,0.968162391,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.714212417,0.920126758
1,1,1,0.973818034,0.973818034,1,0.790092047,0.906218977
1,1,1,1,1,1,0.871738909,1.054525495
1,1,1,1,1,1,0.648073131,0.971050431
1,1,1,1,1,1,0.717109983,1
1,1,1,1,1,1,0.527384167,1
1,1,1,1,0.970872381,1,0.99147996,1
1,1,1,1,1,1,0.840130196,1
1,1,1,1,1,1,0.934673564,1
1,1,1,1,1,1,0.695773686,1
1,1,1,1,1,1,1,1
1,1,1,1,0.94995511,1,0.74172969,1.028168896
1,1,1,1,1,1,0.586744218,0.842993648
1,1,1,1,1,1,0.759013832,1
1,1,1,1,1,1,0.741598377,0.865616958
1,1,1,0.897485924,0.589919579,0.897485924,0.897485924,0
1,1,1,1,1,1,0.964906525,1
1,1,1,1,0.973661302,1,0.942018253,0.942018253
1,1,1,1,1,1,0.794647482,1
1,1,1,0.990342574,1,1,0.97141465,0.990342574
1,1,1,1,1,1,0.844471478,0.757975729
1,1,1,1,1,1,0.839475571,0
1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.622431107,1.160369735
