"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
0.991481776,1,1,0.991481776,1,1,0.863216713,1
0.873250659,1,1,0.873250659,1,1,0.632661452,1
1,1,1,1,1,1,0.991996624,1
1,1,1,1,1,1,1,1
1,0.984293667,1,1,0.984293667,1,1,0.984293667
1,1,1,1,1,1,0.402622904,1
1,1,1,1,1,1,0.604044927,1.239608245
0.93526556,1,1,0.93526556,1,1,0.829974633,1
1,1,1,1,1,1,1,0.886205081
1,1,1,1,1,1,0.677397325,1
1,1,1,1,1,1,1,1
1,1,1,1,1,1,0.906831748,1
0.74610686,1,1,0.74610686,1,1,1,1
1,1,1,1,0.88348452,1,0.621669047,1
1,1,1,1,1,1,0.444357813,1.089724937
1,1,1,1,0.886673861,1,0.917895898,1
0.986415157,1,1,0.986415157,1,1,0.946604872,1
1,1,1,1,1,1,0.851566222,1
0.872134221,1,1,0.872134221,1,1,0.905135464,1
1,1,1,1,1,1,0.816974559,1
1,1,1,1,1,1,0.495105662,1
1,1,1,1,1,1,0.870098027,1
1,1,1,1,1,1,0.571553496,1
1,1,1,1,1,1,0.874149997,0.986889541
1,1,1,0.980065856,1,1,0.897244449,0.980065856
1,1,1,1,1,1,0.489322838,1
0.983775136,1,1,0.983775136,1,1,1,1
1,0.631622075,1,1,0.631622075,1,1,1
1,1,1,1,1,1,0.983690971,1
1,1,1,1,1,1,0.820466521,0.873233828
1,0.975083922,1,1,0.975083922,1,0.849979567,0.975083922
1,1,1,1,1,1,0.398742801,0.959339682
1,1,1,1,1,1,0.931478783,0.653423165
0.942815913,1,1,0.942815913,1,1,0.883935552,1.066500772
0.938588482,1,1,0.938588482,1,1,0.62406089,1
1,1,1,1,0.919231442,1,0.96561115,1.195274544
1,1,1,1,1,1,0.446700494,0.856520034
0.965857051,1,1,0.965857051,1,1,0.864300912,1
0.970771271,1,1,0.970771271,1,1,0.724723577,1
1,1,1,1,1,1,0.807007642,0.807007642
0.962565141,0.874681213,1,0.962565141,0.874681213,1,0.690590579,0.290547045
1,1,1,1,1,1,1,1
0.93437572,1,1,0.93437572,1,1,0.862875692,1
1,1,1,1,1,1,0.855329158,1
1,1,1,1,1,1,0.898154701,1.102745336
1,1,1,0.981222899,0.983258501,1,0.781751402,0.981222899
1,1,1,1,1,1,0.998019627,1
1,1,1,1,1,1,0.476561677,1
1,1,1,1,1,1,0.815609467,0.944888724
0.859347133,1,1,0.832408995,1,1,1,0.900484387
1,1,1,1,0.997264395,1,0.866547186,1
1,1,1,1,1,1,0.85395806,1
1,1,1,1,1,1,0.752519475,1
