"BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","GAFES(pop:30,gen:100)","SPLConfig"
0.029417,0.019805,0.085628,0.017766,0.016019,0.056212,0.568231,0.034367
0.031164,0.0233,0.061745,0.024757,0.018932,0.05592,0.317755,0.03728
0.028543,0.019805,0.066114,0.024465,0.01864,0.062037,0.38183,0.029125
0.010194,0.009029,0.061163,0.007572,0.007572,0.055337,0.396101,0.017766
0.018348,0.018058,0.058541,0.014853,0.015145,0.058833,0.949186,0.018348
0.033494,0.028251,0.073104,0.024756,0.022718,0.067279,0.820454,0.036698
0.031747,0.016601,0.070191,0.026504,0.013398,0.058833,0.543183,0.027087
0.028834,0.020679,0.061745,0.021261,0.018058,0.055338,0.386198,0.033494
0.015145,0.01165,0.059124,0.010194,0.009028,0.058542,0.485807,0.025339
0.03262,0.014272,0.082133,0.025921,0.013398,0.083589,0.55891,0.032329
0.024756,0.015145,0.062328,0.018349,0.014272,0.06058,0.69172,0.019514
0.023883,0.018349,0.06757,0.020097,0.015728,0.063202,0.38882,0.020679
0.023882,0.015437,0.071065,0.020387,0.013689,0.061162,0.502699,0.028543
0.038154,0.017475,0.069609,0.025339,0.014853,0.062619,0.453769,0.029999
0.021844,0.015727,0.057377,0.017475,0.011941,0.054173,0.375131,0.020678
0.019805,0.010193,0.049513,0.016019,0.012815,0.045727,0.455516,0.020388
0.017183,0.017184,0.053881,0.012815,0.017475,0.062036,0.40746,0.022717
0.02097,0.016893,0.056503,0.017184,0.014271,0.051551,0.46804,0.023301
0.024174,0.019805,0.064366,0.017184,0.016601,0.052425,0.355909,0.019514
0.020679,0.019223,0.053881,0.017475,0.01631,0.04893,0.326492,0.020387
0.013106,0.013398,0.044853,0.00932,0.011068,0.041066,4.597395,0.01864
0.01398,0.008446,0.046891,0.010776,0.007572,0.042523,0.359403,0.016601
0.025631,0.021261,0.050969,0.024465,0.01864,0.050678,0.311638,0.027086
0.016602,0.017475,0.052425,0.013106,0.015145,0.046891,0.371345,0.016601
0.020388,0.017767,0.056211,0.020387,0.014854,0.05126,0.299406,0.020388
0.027087,0.022718,0.057085,0.022426,0.019222,0.051843,0.30727,0.023591
0.015728,0.014562,0.050678,0.013106,0.012815,0.046017,0.639878,0.014271
0.012232,0.013689,0.052134,0.009903,0.011067,0.047765,0.459885,0.012815
0.01631,0.011067,0.045435,0.013107,0.009611,0.040775,0.513767,0.019805
0.019805,0.031455,0.061454,0.017183,0.016601,0.05592,0.407752,0.029416
0.019222,0.01631,0.053007,0.016019,0.014562,0.047765,0.294746,0.027377
0.017184,0.01398,0.053298,0.013981,0.011358,0.04893,0.627937,0.019805
0.007572,0.007864,0.020096,0.006116,0.006699,0.018058,1.842453,0.018349
0.022427,0.019514,0.066114,0.018932,0.018349,0.048639,0.289795,0.031456
0.022426,0.014854,0.05359,0.01864,0.013106,0.048931,0.299406,0.02097
0.020096,0.013688,0.055629,0.016602,0.016601,0.050678,0.46571,0.021262
0.0233,0.018932,0.061745,0.016019,0.015146,0.04893,0.417072,0.020097
0.01631,0.013107,0.048056,0.013107,0.011067,0.043687,0.318337,0.014854
0.018349,0.017475,0.049803,0.015727,0.014562,0.047474,0.283096,0.01631
0.011359,0.010485,0.054173,0.009903,0.00932,0.049513,0.320667,0.014563
0.0233,0.023883,0.054173,0.018932,0.019223,0.061163,0.743272,0.026213
0.014271,0.012815,0.047474,0.008446,0.007281,0.042231,0.536484,0.018058
0.018349,0.014854,0.056794,0.013107,0.012524,0.053008,0.398431,0.02097
0.027377,0.018931,0.070774,0.022135,0.018931,0.064075,0.415033,0.026212
0.023882,0.016602,0.066114,0.018349,0.014271,0.05359,0.490175,0.02563
0.044562,0.021844,0.080094,0.022135,0.019222,0.103686,0.305522,0.032329
0.018348,0.011359,0.062036,0.022426,0.01165,0.057085,0.446779,0.023009
0.028543,0.020679,0.063492,0.026504,0.016892,0.054464,0.295911,0.03495
0.018931,0.01165,0.152615,0.054464,0.012232,0.071648,0.547552,0.029708
0.023883,0.01631,0.069901,0.015145,0.014562,0.061163,0.973361,0.026795
0.027668,0.021552,0.076891,0.022426,0.021262,0.070192,1.26432,0.024757
0.029999,0.018349,0.072522,0.025048,0.025048,0.062328,0.513476,0.029707
0.018931,0.013688,0.050096,0.016019,0.01398,0.0466,0.30261,0.023009
0.021553,0.01165,0.051551,0.01864,0.015728,0.050095,0.263291,0.030581
0.010776,0.009611,0.044562,0.008738,0.008155,0.041357,0.716768,0.015145
0.014853,0.01631,0.053299,0.012232,0.013689,0.048056,0.379791,0.021261
0.01864,0.016601,0.050678,0.015727,0.014563,0.046601,0.249893,0.022717
0.020096,0.017767,0.051552,0.016601,0.016019,0.046891,0.293872,0.024465
0.013106,0.010193,0.039027,0.009611,0.008738,0.034368,0.285134,0.025048
0.01864,0.01631,0.048056,0.01631,0.014562,0.044561,0.224554,0.022426
0.019514,0.00932,0.053299,0.027669,0.019222,0.053299,0.322706,0.02563
0.00932,0.008155,0.019514,0.007573,0.00699,0.018349,0.444449,0.021553
0.020097,0.018932,0.052717,0.019514,0.015728,0.047474,0.229214,0.024756
0.028834,0.026212,0.058832,0.021844,0.020096,0.049222,0.297367,0.036406
0.0233,0.013689,0.051843,0.018931,0.012524,0.048639,0.34688,0.031746
0.026213,0.016019,0.053007,0.021553,0.01398,0.049221,0.250768,0.03029
0.013688,0.012523,0.049221,0.011359,0.010776,0.044562,0.302027,0.019514
0.01398,0.01165,0.046017,0.010776,0.009611,0.041649,0.284552,0.018058
0.019805,0.012232,0.056502,0.016019,0.010485,0.050678,0.332608,0.025922
0.021552,0.017767,0.056794,0.015727,0.019514,0.051551,0.33057,0.026213
0.019223,0.010776,0.059998,0.015728,0.00932,0.052425,0.334356,0.023009
0.027086,0.021844,0.073978,0.022426,0.018349,0.067279,0.438624,0.025921
0.023591,0.017183,0.078929,0.019514,0.015436,0.073104,2.319814,0.017184
0.03029,0.023009,0.076891,0.0233,0.022717,0.071356,0.376005,0.036988
0.029416,0.019805,0.074851,0.024465,0.01631,0.068735,0.375422,0.039028
0.01398,0.012524,0.073396,0.012524,0.011359,0.068736,0.431634,0.01631
0.030873,0.028833,0.074852,0.026213,0.025339,0.06757,0.420566,0.03262
0.027378,0.016311,0.07689,0.021552,0.014271,0.072522,0.552794,0.026213
0.026795,0.023009,0.077182,0.020678,0.018348,0.069609,0.906664,0.035824
0.027378,0.013689,0.077182,0.020097,0.011068,0.071356,1.466157,0.034367
0.023009,0.026213,0.073104,0.018932,0.022136,0.065823,0.387072,0.029707
0.023009,0.014562,0.076599,0.01864,0.012524,0.069318,0.527455,0.0233
0.033203,0.024174,0.087667,0.023883,0.017766,0.07456,0.585706,0.036406
0.031164,0.009903,0.080094,0.025921,0.01165,0.064658,0.690847,0.02563
0.031746,0.024465,0.085337,0.02097,0.022135,0.078929,0.662304,0.029998
0.032911,0.017475,0.081842,0.023009,0.018057,0.076598,0.761912,0.031455
0.019514,0.013689,0.075434,0.015436,0.014271,0.068736,0.403965,0.017766
0.021553,0.011941,0.035824,0.017184,0.014562,0.032038,0.457555,0.032038
0.018932,0.011067,0.076016,0.015145,0.009611,0.085628,0.558619,0.024466
0.031746,0.026795,0.077764,0.023591,0.021262,0.073395,0.64483,0.027086
0.014854,0.011067,0.070483,0.011359,0.010777,0.06524,0.517844,0.028542
0.030581,0.019514,0.083298,0.024465,0.01631,0.07456,0.496,0.033203
0.029417,0.025339,0.108054,0.02796,0.020388,0.089706,0.637548,0.020388
