Num ineq rest,B&B+HTC+MHV,BestFS+HTC+MHV,B&B+HTC+MVPWU,BestFS+HTC+MVPWU,B&B+HTC+MCF,BestFS+HTC+MCF,01LP,BoolOpt
0 ineq rest,1.651684,0.996369,0.393772,0.358821,2.171567,0.399596,15.468334,0.389984
0 ineq rest,0.623568,0.462507,0.306688,0.334356,1.746631,0.277853,0.362316,0.276106
0 ineq rest,0.45639,0.366103,0.197468,0.151159,0.243195,0.187857,0.283096,0.260961
0 ineq rest,0.230962,0.351831,0.035824,0.02563,0.06757,0.063493,0.531242,0.461633
0 ineq rest,0.422896,0.364646,0.145626,0.136305,0.222224,0.223389,0.424644,0.373966
0 ineq rest,0.352413,0.332318,0.182614,0.163101,0.254262,0.170965,0.490175,6.114229
0 ineq rest,0.274941,0.279892,0.237952,0.209118,0.249311,0.151159,0.380956,0.308435
0 ineq rest,0.254554,0.249602,0.098442,0.08621,0.173294,0.110093,0.360277,0.359695
0 ineq rest,0.247272,0.192226,0.03961,0.03029,0.087084,0.044853,0.441828,0.339598
0 ineq rest,0.243777,0.246981,0.083298,0.074851,0.12815,0.112714,0.311055,0.428138
0 ineq rest,0.227176,0.217273,0.080968,0.078347,0.124655,0.089997,0.357948,0.317464
0 ineq rest,0.227175,0.191935,0.069027,0.051551,0.09087,0.087958,0.325327,0.330861
0 ineq rest,0.230671,0.20737,0.070483,0.065241,0.091453,0.0932,5.845696,0.383286
0 ineq rest,0.216399,0.218438,0.073978,0.058833,0.11184,0.089414,0.299989,0.277271
0 ineq rest,0.205914,0.205914,0.068735,0.056211,0.089123,0.065823,0.295619,0.313678
0 ineq rest,0.219312,0.211157,0.074851,0.061745,0.090288,0.071648,0.282805,0.3029
0 ineq rest,0.21203,0.193391,0.061162,0.048639,0.080386,0.059415,0.288629,0.340182
0 ineq rest,0.207371,0.198051,0.122034,0.086793,0.0932,0.066114,0.302027,0.275523
0 ineq rest,0.199506,0.192517,0.061746,0.050386,0.089705,0.082716,0.284552,0.258922
0 ineq rest,0.192808,0.181741,0.073686,0.057668,0.089705,0.066405,0.350375,0.25601
0 ineq rest,0.250184,0.192517,0.101064,0.081841,0.075143,0.057959,0.300571,0.225137
0 ineq rest,0.180575,0.173876,0.043105,0.033202,0.058833,0.041358,0.32125,0.293872
0 ineq rest,0.215234,0.200671,0.106598,0.066697,0.138053,0.076017,0.287173,0.257757
0 ineq rest,0.186401,0.168343,0.044852,0.036406,0.069609,0.054464,0.289503,0.283679
0 ineq rest,0.210283,0.19543,0.086502,0.064948,0.087084,0.068153,0.241447,0.228341
0 ineq rest,0.242612,0.230089,0.106306,0.092909,0.115335,0.102811,0.258048,0.446196
0 ineq rest,0.200381,0.177371,0.064075,0.042523,0.076017,0.053881,0.306105,0.238535
0 ineq rest,0.198925,0.179993,0.044561,0.039901,0.057085,0.04194,0.292125,0.378626
0 ineq rest,0.199215,0.183779,0.07223,0.059706,0.098152,0.070774,0.248146,0.275523
0 ineq rest,0.19572,0.171546,0.076598,0.053299,0.09087,0.055338,0.180575,0.187566
0 ineq rest,0.158732,0.146499,0.066988,0.054464,0.073687,0.055338,0.210575,0.183779
0 ineq rest,0.177663,0.168052,0.06524,0.058833,0.063201,0.05359,0.216108,0.186109
0 ineq rest,0.062327,0.054464,0.027377,0.018348,0.040193,0.029125,0.246107,0.21902
0 ineq rest,0.171546,0.161935,0.070774,0.060289,0.083589,0.067862,0.206497,0.191935
0 ineq rest,0.166887,0.151159,0.071065,0.058542,0.081841,0.063492,0.210574,0.178245
0 ineq rest,0.157858,0.14679,0.057085,0.0466,0.070191,0.056212,0.205041,0.197468
0 ineq rest,0.153489,0.156111,0.043397,0.034076,0.06291,0.05126,0.208244,0.20475
0 ineq rest,0.157858,0.14446,0.052426,0.040484,0.064949,0.050678,0.207954,0.182905
0 ineq rest,0.212322,0.15611,0.066406,0.051551,0.074852,0.059415,0.198924,0.186109
0 ineq rest,0.147373,0.131937,0.031747,0.020679,0.041066,0.029125,0.233,0.205914
0 ineq rest,0.176498,0.146499,0.058832,0.047473,0.076599,0.054756,0.177954,0.182032
0 ineq rest,0.130481,0.120869,0.026504,0.01864,0.036407,0.029707,0.221934,0.216108
0 ineq rest,0.156693,0.146791,0.057668,0.048348,0.059707,0.048638,0.208827,0.190769
0 ineq rest,0.164848,0.147081,0.060872,0.049804,0.073978,0.056503,0.226302,0.204458
0 ineq rest,0.171838,0.15378,0.063202,0.043687,0.064949,0.050386,0.233584,0.214069
0 ineq rest,0.19106,0.162226,0.075142,0.055338,0.077181,0.056793,0.18145,0.599103
0 ineq rest,0.136305,0.140383,0.034659,0.02563,0.044562,0.034076,0.213196,0.20271
0 ineq rest,0.155819,0.140383,0.066697,0.054755,0.078638,0.061162,0.228923,0.186401
0 ineq rest,0.162227,0.155528,0.038445,0.028834,0.05359,0.037863,0.23271,0.319794
0 ineq rest,0.173586,0.166304,0.051843,0.041357,0.059998,0.043105,0.224554,0.267368
0 ineq rest,0.165721,0.148829,0.057377,0.044852,0.067571,0.056503,0.23038,0.296784
0 ineq rest,0.20737,0.193099,0.050095,0.053007,0.066405,0.068444,0.298241,0.306687
0 ineq rest,0.23737,0.214652,0.073686,0.064658,0.105141,0.083881,0.298533,0.264456
0 ineq rest,0.218147,0.193682,0.100481,0.080968,0.107762,0.082715,0.266494,0.481729
0 ineq rest,0.175042,0.163391,0.038445,0.03029,0.05592,0.036989,0.258048,0.214361
0 ineq rest,0.149702,0.137179,0.061454,0.03728,0.059124,0.037572,0.234457,0.218729
0 ineq rest,0.162809,0.144751,0.058541,0.045727,0.070774,0.054173,0.203002,0.187274
0 ineq rest,0.164848,0.15378,0.059706,0.046891,0.071065,0.055628,0.215817,0.212031
0 ineq rest,0.148247,0.129898,0.041649,0.032038,0.053591,0.040192,0.260961,0.240574
