B&B-HB-MHV,BestFS-HB-MHV,B&B-HB-MVPWU,BestFS-HB-MVPWU,B&B-HB-MCF,BestFS-HB-MCF,01LP,BoolOpt
0.085045,0.064075,1.21073,0.101647,0.115044,0.062619,0.455807,1.849734
0.119122,0.086502,0.126112,0.075726,0.050678,0.037863,0.229215,0.222225
0.101355,0.090288,0.106598,0.077472,0.048639,0.033785,0.259213,0.199507
0.057085,0.047182,0.045435,0.035532,0.01398,0.00699,0.265038,0.24436
0.06524,0.054464,0.049513,0.042231,0.025921,0.017766,0.240573,0.210575
0.074561,0.060289,0.064657,0.057376,0.033494,0.023008,0.517261,0.471535
0.073104,0.062619,0.061746,0.041358,0.032621,0.023009,0.217274,0.188148
0.070774,0.05825,0.062619,0.0466,0.076016,0.046308,0.268825,0.267368
0.061745,0.052425,0.046018,0.046309,0.023591,0.015437,0.257757,0.220185
0.077473,0.064366,0.056794,0.03728,0.04427,0.03262,0.215234,0.229506
0.101646,0.064366,0.063201,0.049512,0.043979,0.039028,0.313386,0.411246
0.061454,0.052425,0.061163,0.043105,0.037571,0.027377,0.348045,0.369597
0.154655,0.058542,0.054173,0.053299,0.049803,0.029999,0.22805,0.274941
0.063202,0.057376,0.060872,0.038445,0.040484,0.02796,0.20737,0.240864
0.068152,0.061454,0.089123,0.032329,0.051552,0.032037,0.229796,0.267951
0.066114,0.06058,0.030872,0.024174,0.030873,0.024465,0.275232,0.223098
0.070192,0.061454,0.031164,0.023591,0.022718,0.028543,0.25368,0.220768
0.074269,0.061745,0.030872,0.023592,0.040193,0.024174,0.228341,0.251058
0.084171,0.103394,0.107763,0.036698,0.044853,0.026795,0.670751,0.565318
0.083006,0.062036,0.068152,0.070191,0.06291,0.048931,0.424935,0.408334
0.060871,0.071648,0.052717,0.023591,0.021261,0.013106,0.436876,0.455225
0.101356,0.069026,0.043688,0.033202,0.021844,0.01864,0.314842,0.268242
0.082133,0.076308,0.04194,0.035824,0.039901,0.03262,0.258631,0.236496
0.064367,0.055629,0.04194,0.028542,0.029707,0.021552,0.240282,0.248146
0.071938,0.08155,0.43775,0.02563,0.037571,0.031164,0.240864,0.284261
0.065823,0.060289,0.045726,0.026795,0.042231,0.029999,0.199215,0.1864
0.057667,0.050677,0.029998,0.022135,0.01864,0.012815,0.342511,0.375131
0.057376,0.049804,0.023009,0.014854,0.012523,0.006408,0.224554,0.242904
0.063202,0.056502,0.03495,0.024173,0.047765,0.033494,0.303775,0.360277
0.069609,0.064075,0.039027,0.0233,0.027086,0.021553,0.194265,0.276106
0.0699,0.059707,0.03262,0.024174,0.029416,0.022718,0.206205,0.182323
0.078055,0.070483,0.047183,0.030872,0.036115,0.019514,0.211157,0.186692
0.028543,0.022717,0.022426,0.014563,0.013106,0.008446,0.230962,0.215526
0.066987,0.06291,0.034658,0.027378,0.031746,0.02563,0.211739,0.243777
0.077764,0.071356,0.041066,0.033202,0.03262,0.029125,0.369306,0.325036
0.084171,0.077182,0.038445,0.030873,0.027086,0.018931,0.38416,0.384159
0.097569,0.079221,0.053299,0.031164,0.02563,0.019805,0.304649,0.288921
0.080094,0.071647,0.03728,0.029125,0.0233,0.017184,0.273194,0.252806
0.085337,0.078346,0.065241,0.047474,0.03262,0.024756,0.466292,0.45639
0.074852,0.071356,0.031746,0.021844,0.015145,0.00932,0.291834,0.261543
0.088249,0.074852,0.049222,0.028251,0.035823,0.029708,0.270281,0.258631
0.06757,0.061163,0.028251,0.018348,0.020679,0.013689,0.269407,0.680071
0.07689,0.06524,0.041357,0.029999,0.030581,0.021262,0.271446,0.275232
0.086502,0.076308,0.058542,0.044562,0.053008,0.041358,0.594152,0.341346
0.071065,0.066697,0.038737,0.025339,0.029125,0.019805,3.461808,0.425227
0.093783,0.078347,0.037863,0.01864,0.049512,0.036989,0.216108,0.75434
0.070191,0.059998,0.033202,0.021552,0.026212,0.019223,0.384451,0.369306
0.078637,0.068152,0.040193,0.029707,0.036697,0.028251,0.26766,0.23038
0.082132,0.074269,0.034659,0.030872,0.028251,0.023009,0.277562,0.278145
0.084754,0.078056,0.043396,0.029708,0.035242,0.023591,0.353287,0.449691
0.094074,0.087958,0.037572,0.025922,0.03029,0.021261,0.31659,0.303775
0.080968,0.065822,0.034077,0.025339,0.026795,0.019514,0.233292,0.199507
0.06291,0.055047,0.042814,0.025339,0.027669,0.021261,0.204749,0.183196
0.067861,0.060871,0.052716,0.039319,0.035533,0.027669,0.414741,0.347753
0.054464,0.048347,0.02097,0.014272,0.014854,0.009611,0.219894,0.205331
0.063201,0.05592,0.030873,0.022718,0.028251,0.022717,0.401053,0.417654
0.066987,0.060872,0.035241,0.027086,0.026213,0.020097,0.194847,0.183488
0.064949,0.058832,0.028834,0.022135,0.02563,0.019223,0.226593,0.172421
0.049221,0.043979,0.025048,0.01864,0.017475,0.012233,0.350957,0.412994
0.062037,0.055629,0.032911,0.025339,0.02563,0.021844,0.196303,0.170382
0.064949,0.057668,0.027378,0.021261,0.031746,0.021843,0.206206,0.197759
0.027669,0.025048,0.019223,0.014562,0.018057,0.013106,0.391441,0.384451
0.0699,0.060872,0.034076,0.026503,0.027378,0.020679,0.208245,0.203002
0.07456,0.068736,0.041358,0.048056,0.036406,0.030581,0.18378,0.203584
0.071066,0.061745,0.039028,0.026796,0.031164,0.025339,0.286591,0.189022
0.075434,0.070774,0.039318,0.029707,0.038445,0.031455,0.155528,0.130481
0.056503,0.050678,0.024756,0.018349,0.021844,0.014563,0.356491,0.343094
0.062036,0.057959,0.028252,0.022717,0.024465,0.01864,0.191351,0.226302
0.08388,0.076308,0.038154,0.03029,0.033203,0.025921,0.562406,0.608423
0.086793,0.084754,0.042523,0.033202,0.023883,0.017475,0.283387,0.279018
0.086793,0.081259,0.041066,0.031746,0.022136,0.016019,0.423479,0.227758
0.076016,0.065823,0.041357,0.027378,0.028834,0.022135,0.30261,0.419693
0.094948,0.08592,0.049513,0.038154,0.050969,0.041357,0.601142,0.436585
0.072813,0.069026,0.032038,0.023882,0.031456,0.024174,0.238243,0.185236
0.069609,0.06291,0.038445,0.029708,0.036989,0.029125,0.217273,0.244359
0.069318,0.060872,0.020096,0.014854,0.017766,0.01398,0.235913,0.205332
0.071357,0.094948,0.036406,0.029125,0.042523,0.033494,0.532698,0.508525
0.145334,0.09087,0.023008,0.02097,0.017766,0.011359,0.311348,0.317755
0.113588,0.127568,0.052717,0.043397,0.034367,0.027669,0.235039,0.209409
0.116792,0.103102,0.052717,0.040193,0.043105,0.036697,0.712983,0.715312
0.100191,0.091744,0.03961,0.028252,0.0233,0.017475,0.287756,0.256301
