"Model(Num features)","B&B+HTC+MCF","B&B+HTC+MVW","B&B+HTC+MHV","BestFS+HTC+MCF","BestFS+HTC+MVW","BestFS+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"SAL(10)","0.313967","0.155818","0.202419","0.209409","0.094365","0.199506","0.101064","0.091161","0.249018","0.099025","0.09087","0.23067","0.372508"
"Mobile Game(10)","0.136596","0.05825","0.222806","0.05126","0.044852","0.115918","0.052716","0.040193","0.228048","0.052425","0.042814","0.112713","0.262125"
"VODPlayer(10)","0.082132","0.069027","0.138053","0.064366","0.052716","0.119994","0.04893","0.048347","0.114462","0.047183","0.044561","0.107763","0.257465"
"CIMS PL(10)","0.050386","0.09058","0.044853","0.023882","0.016018","0.037862","0.023009","0.019222","0.041649","0.017475","0.016019","0.034077","0.438331"
"AvionFEatures(10)","0.057085","0.047474","0.117374","0.057085","0.047182","0.102811","0.046891","0.03961","0.08388","0.062328","0.039318","0.084171","0.332316"
"Phone sple(10)","0.035241","0.028542","0.105141","0.02767","0.023591","0.099316","0.026795","0.024173","0.093783","0.02796","0.023301","0.101354","0.299988"
"Phone(10)","0.102811","0.052716","0.127276","0.056211","0.043106","0.112422","0.050969","0.040775","0.108345","0.048638","0.047764","0.117374","0.278435"
"Ökonomische Merkmale(10)","0.039901","0.042231","0.11184","0.029998","0.036406","0.088541","0.028251","0.031455","0.084753","0.02563","0.035242","0.087666","0.28193"
"carpl(10)","0.032038","0.027668","0.047474","0.022426","0.023008","0.042813","0.024756","0.024173","0.054464","0.02796","0.025921","0.052133","0.455515"
"MyFM(10)","0.068152","0.039318","0.108927","0.0466","0.030873","0.096694","0.048348","0.03262","0.101063","0.045144","0.031455","0.101647","0.230379"
"rtrt(10)","0.060289","0.045726","0.08854","0.041649","0.068735","0.087957","0.048347","0.040193","0.084753","0.044271","0.040776","0.114462","0.292124"
"FeatureModel1(10)","0.051842","0.043105","0.075434","0.03728","0.03728","0.070483","0.038445","0.036406","0.066987","0.036988","0.036116","0.070482","0.268241"
"Example Mobile Phone(10)","0.045726","0.038445","0.080093","0.034076","0.029708","0.076307","0.031746","0.029416","0.071356","0.030872","0.029708","0.080676","0.182905"
"testISA2012(10)","0.065531","0.041649","0.106016","0.039319","0.03495","0.097569","0.041358","0.037863","0.100481","0.040193","0.035824","0.098151","0.290085"
