"Model(Num features)","B&B+HTC+MCF","B&B+HTC+MVW","B&B+HTC+MHV","BestFS+HTC+MCF","BestFS+HTC+MVW","BestFS+HTC+MHV","BT+HMO+MCF","BT+HMO+MVW","BT+HMO+MHV","BT+HTC+MCF","BT+HTC+MVW","BT+HTC+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"SAL(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Mobile Game(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.9702952366463701","1.0","1.0","1.0","1.0","1.0","1.0"
"VODPlayer(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"CIMS PL(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"AvionFEatures(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.9114531154573087","0.9114531154573087","1.0","0.9114531154573087","0.9114531154573087","1.0","1.0"
"Phone sple(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.978543122376791","0.978543122376791","1.0","1.0","1.0","1.0","1.0"
"Phone(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Ökonomische Merkmale(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"carpl(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"MyFM(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"rtrt(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"FeatureModel1(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Example Mobile Phone(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9586211406709759","1.0","1.0","0.9586211406709759","1.0","1.0"
"testISA2012(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.9670647323574135","1.0","1.0","0.9670647323574135","1.0","1.0","1.0"
"Mobile-Phone(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.35771352006440765","1.0","1.0","0.35771352006440765","1.0","1.0"
"Mobile phone (lenita)(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.9773614163839666","1.0","1.0","1.0","1.0","1.0"
"Mobile Phone GF(10)","1.0","1.0","1.0","1.0","1.0","1.0","0.8842279338586749","0.8842279338586749","1.0","0.8842279338586749","0.8842279338586749","1.0","1.0"
"Example Product Line Course Using SPLOT(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Guad gmocht!(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"MobileMedia(10)","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
