"Model(Num features)","B&B+HB+MCF","B&B+HB+MVW","B&B+HB+MHV","BestFS+HB+MCF","BestFS+HB+MVW","BestFS+HB+MHV","BT+HA+MCF","BT+HA+MVW","BT+HA+MHV","BT+HB+MCF","BT+HB+MVW","BT+HB+MHV","JavaPseudoBooleanLPalgorithm-SAT4J"
"SAL(10)","0.118248","0.073687","0.151158","0.063784","0.043687","0.131645","0.050968","0.046309","0.120868","0.047473","0.045144","0.120577","0.479689"
"Mobile Game(10)","0.062619","0.047473","0.123781","0.053298","0.053299","0.107762","0.045726","0.037862","0.10252","0.045144","0.049803","0.108345","0.292415"
"VODPlayer(10)","0.056212","0.049513","0.124655","0.047473","0.044852","0.115335","0.046892","0.042232","0.106307","0.059124","0.043396","0.108345","0.306686"
"CIMS PL(10)","0.025047","0.021552","0.043688","0.01864","0.018349","0.039027","0.018931","0.019514","0.038154","0.018931","0.019514","0.037572","0.616285"
"AvionFEatures(10)","0.056794","0.060871","0.085045","0.041358","0.044853","0.079511","0.034076","0.040484","0.094364","0.035824","0.044561","0.087084","0.407458"
"Phone sple(10)","0.033493","0.030872","0.107472","0.02563","0.024174","0.101064","0.03961","0.03495","0.093491","0.025339","0.024174","0.10019","0.401634"
"Phone(10)","0.062328","0.04893","0.124364","0.050969","0.043396","0.113879","0.050386","0.041648","0.10718","0.049804","0.043978","0.126985","0.29824"
"Ökonomische Merkmale(10)","0.036406","0.039028","0.097569","0.050969","0.03961","0.11184","0.032038","0.034659","0.093492","0.029708","0.035241","0.110966","0.451729"
"carpl(10)","0.032037","0.029125","0.054464","0.02563","0.024465","0.048639","0.02563","0.025048","0.049804","0.035823","0.024465","0.048929","0.523376"
"MyFM(10)","0.049221","0.034076","0.094947","0.040484","0.027086","0.087374","0.040192","0.027086","0.081551","0.039901","0.028251","0.085919","0.300279"
"rtrt(10)","0.057376","0.051551","0.098442","0.050969","0.045435","0.093783","0.049804","0.044561","0.094074","0.047474","0.046308","0.094948","0.436584"
"FeatureModel1(10)","0.05126","0.055338","0.115335","0.135723","0.044852","0.094656","0.047766","0.04427","0.09087","0.047183","0.045435","0.092326","0.453477"
"Example Mobile Phone(10)","0.054172","0.049804","0.120578","0.04194","0.045144","0.115044","0.042814","0.043105","0.108636","0.040775","0.044561","0.115044","0.347753"
"testISA2012(10)","0.061163","0.046308","0.115918","0.036407","0.038445","0.092035","0.042231","0.034659","0.091453","0.039318","0.036697","0.098734","0.311929"
"Mobile-Phone(10)","0.050095","0.080967","0.115918","0.037862","0.056794","0.105432","0.039901","0.047765","0.100773","0.038736","0.04893","0.106889","0.351248"
"Mobile phone (lenita)(10)","0.050969","0.041066","0.121451","0.03961","0.036115","0.1165","0.041066","0.036406","0.111549","0.038736","0.036989","0.112131","0.341054"
"Mobile Phone GF(10)","0.055628","0.071938","0.110092","0.041066","0.043688","0.103102","0.040192","0.042231","0.096112","0.040192","0.044561","0.113587","0.524833"
"Example Product Line Course Using SPLOT(10)","0.04893","0.047765","0.122034","0.042814","0.041066","0.113005","0.038445","0.040775","0.109801","0.039319","0.041648","0.118247","0.335811"
"Guad gmocht!(10)","0.069608","0.06524","0.129315","0.05359","0.05359","0.132809","0.056794","0.060871","0.110384","0.048929","0.054464","0.115335","0.759289"
"MobileMedia(10)","0.072521","0.059415","0.133392","0.066404","0.05825","0.1165","0.065822","0.057959","0.089123","0.049513","0.041358","0.086793","0.488135"
"Simnumero(10)","0.053007","0.036115","0.136305","0.033785","0.027669","0.117665","0.03262","0.024465","0.110966","0.031455","0.024756","0.114461","0.339889"
"isolation(10)","0.030582","0.026795","0.061454","0.024174","0.024174","0.071356","0.027086","0.032621","0.087957","0.031455","0.026212","0.06058","0.59415"
"AllSports Feature Model(10)","0.066406","0.058833","0.104559","0.052716","0.052134","0.09786","0.048057","0.047766","0.093491","0.046601","0.049512","0.098734","0.373382"
"Bicis_Feature_Model(10)","0.046017","0.035533","0.071065","0.035823","0.026212","0.063783","0.028833","0.026504","0.066114","0.02796","0.026504","0.071065","0.395227"
"MobileMedia(10)","0.04427","0.032038","0.089705","0.034367","0.027378","0.085627","0.034367","0.027086","0.078346","0.034076","0.02796","0.083297","0.250766"
